"fips","state","county","crop","additional_base_acres"
1001,"Alabama","Autauga","corn",0
1001,"Alabama","Autauga","cotton",0
1001,"Alabama","Autauga","grain sorghum",0
1001,"Alabama","Autauga","oats",0
1001,"Alabama","Autauga","peanuts",0
1001,"Alabama","Autauga","rapeseed",0
1001,"Alabama","Autauga","sesame",0
1001,"Alabama","Autauga","soybeans",0
1001,"Alabama","Autauga","sunflower",0
1001,"Alabama","Autauga","wheat",0
1003,"Alabama","Baldwin","corn",278.739320866713
1003,"Alabama","Baldwin","cotton",460.436453659422
1003,"Alabama","Baldwin","grain sorghum",19.7056268700848
1003,"Alabama","Baldwin","oats",81.0088233791094
1003,"Alabama","Baldwin","peanuts",743.541172052158
1003,"Alabama","Baldwin","soybeans",418.535966792749
1003,"Alabama","Baldwin","wheat",86.5542378249817
1005,"Alabama","Barbour","corn",0
1005,"Alabama","Barbour","cotton",0
1005,"Alabama","Barbour","grain sorghum",0
1005,"Alabama","Barbour","oats",0
1005,"Alabama","Barbour","peanuts",0
1005,"Alabama","Barbour","sesame",0
1005,"Alabama","Barbour","soybeans",0
1005,"Alabama","Barbour","wheat",0
1007,"Alabama","Bibb","corn",0
1007,"Alabama","Bibb","cotton",0
1007,"Alabama","Bibb","soybeans",0
1007,"Alabama","Bibb","wheat",0
1009,"Alabama","Blount","corn",1381.09482700135
1009,"Alabama","Blount","cotton",1519.34478161636
1009,"Alabama","Blount","peanuts",164.86945127512
1009,"Alabama","Blount","soybeans",1856.65623479805
1009,"Alabama","Blount","wheat",158.455346797684
1011,"Alabama","Bullock","corn",0
1011,"Alabama","Bullock","cotton",0
1011,"Alabama","Bullock","grain sorghum",0
1011,"Alabama","Bullock","peanuts",0
1011,"Alabama","Bullock","sesame",0
1011,"Alabama","Bullock","soybeans",0
1011,"Alabama","Bullock","wheat",0
1013,"Alabama","Butler","corn",0
1013,"Alabama","Butler","cotton",0
1013,"Alabama","Butler","grain sorghum",0
1013,"Alabama","Butler","peanuts",0
1013,"Alabama","Butler","soybeans",0
1013,"Alabama","Butler","wheat",0
1015,"Alabama","Calhoun","corn",370.403001801381
1015,"Alabama","Calhoun","cotton",836.943928717504
1015,"Alabama","Calhoun","grain sorghum",8.94347953486091
1015,"Alabama","Calhoun","peanuts",11.8162057993885
1015,"Alabama","Calhoun","soybeans",490.224254444383
1015,"Alabama","Calhoun","wheat",231.195869434811
1017,"Alabama","Chambers","corn",0
1017,"Alabama","Chambers","cotton",0
1017,"Alabama","Chambers","wheat",0
1019,"Alabama","Cherokee","corn",611.24985063348
1019,"Alabama","Cherokee","cotton",4050.85280075403
1019,"Alabama","Cherokee","oats",44.5360365259045
1019,"Alabama","Cherokee","peanuts",22.5249967317163
1019,"Alabama","Cherokee","soybeans",885.147201108419
1019,"Alabama","Cherokee","sunflower",5.43556821249854
1019,"Alabama","Cherokee","wheat",227.139932762316
1021,"Alabama","Chilton","corn",203.622201330361
1021,"Alabama","Chilton","cotton",163.922110335522
